loan_amount,income,interest_rate,tenure,dependents,gender,education,job_duration,marital_status,loan_status
100000.0,17000.0,15.0,12.0,3.0,1,1,1.0,1,0
50000.0,60000.0,15.0,24.0,1.0,0,1,1.0,1,1
1250000.0,20000.0,15.0,48.0,2.0,0,1,3.0,1,0
450000.0,13000.0,15.0,36.0,0.0,0,1,3.0,1,0
2233000.0,80000.0,15.0,60.0,0.0,1,1,4.0,0,0
150000.0,60000.0,15.0,24.0,1.0,0,1,2.0,1,1
900000.0,200000.0,15.0,12.0,0.0,1,1,4.0,0,1
350000.0,23500.0,15.0,18.0,5.0,1,0,1.0,1,0
400000.0,36500.0,15.0,48.0,1.0,0,1,3.5,0,1
700000.0,77000.0,15.0,36.0,2.0,1,1,2.5,1,1
650000.0,54300.0,15.0,30.0,0.0,1,1,2.0,1,1
250000.0,29500.0,15.0,12.0,1.0,1,1,1.0,0,0
300000.0,36000.0,15.0,24.0,3.0,1,0,1.5,1,1
800000.0,65000.0,15.0,72.0,2.0,0,2,8.0,1,1
200000.0,36000.0,15.0,18.0,0.0,1,1,2.0,1,1
450000.0,48000.0,15.0,24.0,1.0,0,1,3.0,0,1
500000.0,37500.0,15.0,72.0,3.0,1,0,2.0,1,1
900000.0,80000.0,15.0,36.0,2.0,1,1,4.0,1,1
50000.0,10000.0,15.0,12.0,0.0,0,0,1.0,0,1
350000.0,14500.0,15.0,24.0,2.0,1,1,2.0,1,0
80000.0,12000.0,15.0,12.0,0.0,0,0,1.0,0,0
650000.0,30000.0,15.0,36.0,1.0,0,0,2.0,0,0
240000.0,32000.0,15.0,24.0,2.0,1,1,3.0,1,1
300000.0,45000.0,15.0,24.0,0.0,1,1,4.0,0,1
450000.0,29560.0,15.0,18.0,1.0,1,0,2.0,1,0
150000.0,18220.0,15.0,18.0,0.0,1,0,1.0,1,1
1400000.0,120000.0,15.0,36.0,3.0,1,1,2.0,1,1
250000.0,32418.5,15.0,30.0,2.0,0,1,5.0,1,1
250000.0,32418.5,15.0,30.0,2.0,1,1,5.0,1,1
400000.0,26350.0,15.0,24.0,0.0,1,0,1.0,0,0
350000.0,41500.0,15.0,12.0,1.0,0,0,1.0,0,0
100000.0,14700.0,15.0,18.0,2.0,1,1,2.0,1,1
80000.0,7000.0,15.0,12.0,3.0,1,0,3.0,1,0
120000.0,13900.0,15.0,18.0,4.0,1,0,1.0,0,0
2500000.0,320000.0,15.0,72.0,1.0,1,2,5.0,1,1
1400000.0,76000.0,15.0,60.0,2.0,0,1,4.0,1,1
70000.0,10000.0,15.0,12.0,0.0,1,0,0.5,1,0
500000.0,45000.0,15.0,36.0,2.0,0,0,1.0,0,1
900000.0,120000.0,15.0,12.0,3.0,1,2,5.0,1,0
360000.0,58480.0,15.0,15.0,0.0,0,1,2.0,1,1
50000.0,5000.0,15.0,12.0,0.0,0,0,1.0,0,0
400000.0,60000.0,15.0,24.0,0.0,1,0,2.0,0,1
200000.0,30000.0,15.0,24.0,0.0,1,0,2.0,0,1
2500000.0,60000.0,15.0,48.0,2.0,1,1,2.0,1,0
750000.0,35000.0,15.0,36.0,0.0,0,0,1.5,0,0
1700000.0,85000.0,15.0,60.0,4.0,0,2,5.0,1,0
100000.0,25000.0,15.0,64.0,1.0,1,0,2.0,1,1
150000.0,35000.0,15.0,36.0,2.0,0,2,3.0,0,1
205000.0,30000.0,15.0,45.0,0.0,0,0,0.0,1,1
250000.0,35000.0,15.0,38.0,2.0,0,0,3.0,1,1
275000.0,67000.0,15.0,75.0,3.0,1,1,0.6,0,1
300000.0,25000.0,15.0,80.0,3.0,1,0,3.0,1,1
310000.0,20000.0,15.0,36.0,3.0,1,1,1.0,1,0
375000.0,36000.0,15.0,26.0,0.0,0,0,2.0,0,1
450000.0,9000.0,15.0,48.0,3.0,1,0,2.0,1,0
775000.0,25000.0,15.0,36.0,2.0,0,0,2.3,0,0
